,Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
0,Quitinete;Copacabana;1;0;0;40;1700;500;60
1,Casa;Jardim Botânico;2;0;1;100;7000;;
2,Conjunto Comercial/Sala;Barra da Tijuca;0;4;0;150;5200;4020;1111
3,Apartamento;Centro;1;0;0;15;800;390;20
4,Apartamento;Higienópolis;1;0;0;48;800;230;
5,Apartamento;Vista Alegre;3;1;0;70;1200;;
6,Apartamento;Cachambi;2;0;0;50;1300;301;17
7,Casa de Condomínio;Barra da Tijuca;5;4;5;750;22000;;
8,Casa de Condomínio;Ramos;2;2;0;65;1000;;
9,Conjunto Comercial/Sala;Centro;0;3;0;695;35000;19193;3030
10,Apartamento;Centro;1;0;0;36;1200;;
11,Apartamento;Grajaú;2;1;0;70;1500;642;74
12,Apartamento;Lins de Vasconcelos;3;1;1;90;1500;455;14
13,Apartamento;Copacabana;1;0;1;40;2000;561;50
14,Quitinete;Copacabana;1;0;0;27;1800;501;
15,Apartamento;Copacabana;4;3;1;243;13000;2000;803
16,Prédio Inteiro;Botafogo;0;0;0;536;28000;;3563
17,Flat;Botafogo;3;1;1;80;3800;1040;
18,Casa de Condomínio;Taquara;3;1;1;115;2000;;
19,Apartamento;Freguesia (Jacarepaguá);3;0;0;54;950;300;28
20,Apartamento;Barra da Tijuca;2;1;1;67;1700;589;147
21,Apartamento;Tijuca;2;1;0;110;1900;700;138
22,Casa de Condomínio;Barra da Tijuca;4;3;2;466;7500;2695;
23,Apartamento;Olaria;3;1;0;68;1000;670;
24,Apartamento;Tijuca;2;1;0;78;2000;700;
25,Flat;Leblon;1;0;0;56;4500;1900;1500
26,Conjunto Comercial/Sala;São Cristóvão;0;1;0;25;1100;600;
27,Apartamento;Ipanema;3;1;1;125;7000;2100;463
28,Apartamento;Tijuca;1;0;0;48;750;772;25
29,Loja/Salão;Campo Grande;0;1;0;35;1300;950;
30,Apartamento;Barra da Tijuca;3;3;1;175;4200;1500;500
31,Casa;Campo Grande;4;1;2;400;12000;;
32,Apartamento;Botafogo;2;1;0;76;2500;740;
33,Apartamento;Copacabana;3;1;2;378;10000;2150;700
34,Apartamento;Copacabana;3;0;0;180;5500;1780;420
35,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;22;700;;
36,Apartamento;Recreio dos Bandeirantes;3;1;1;105;2300;648;
37,Apartamento;Leblon;3;1;0;110;3900;1500;120
38,Conjunto Comercial/Sala;Centro;0;5;0;1306;117540;19486;
39,Quitinete;Copacabana;1;0;0;27;1300;380;53
40,Apartamento;Jardim Oceânico;3;3;1;200;3500;1780;496
41,Apartamento;Barra da Tijuca;3;1;2;70;1800;1095;140
42,Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;1;0;50;1500;250;
43,Apartamento;Copacabana;4;1;0;244;5000;2500;4100
44,Apartamento;Barra da Tijuca;3;2;1;110;4500;2000;450
45,Conjunto Comercial/Sala;Centro;0;0;0;460;7500;4797;2019
46,Conjunto Comercial/Sala;Centro;0;0;0;1170;140456;23409;5852
47,Apartamento;Recreio dos Bandeirantes;2;2;2;90;3000;1340;
48,Apartamento;Recreio dos Bandeirantes;3;2;2;100;2600;380;
49,Apartamento;Barra da Tijuca;3;1;1;72;2350;600;70
50,Apartamento;Humaitá;2;2;1;180;4000;2500;300
51,Apartamento;Recreio dos Bandeirantes;3;1;2;92;2300;840;200
52,Conjunto Comercial/Sala;Centro;0;1;0;70;1900;1080;251
53,Conjunto Comercial/Sala;Jardim Botânico;0;1;0;50;4000;1160;200
54,Apartamento;Centro;1;0;0;27;750;371;19
55,Apartamento;Ipanema;1;0;0;35;2000;650;75
56,Apartamento;Ipanema;1;0;0;38;1400;530;77
57,Apartamento;Recreio dos Bandeirantes;2;1;2;83;1600;1160;157
58,Loja/Salão;Copacabana;0;0;0;34;2000;735;
59,Casa de Condomínio;Barra da Tijuca;5;10;5;1600;25000;1600;
60,Apartamento;Barra da Tijuca;4;3;3;153;6500;2300;434
61,Conjunto Comercial/Sala;Recreio dos Bandeirantes;0;0;0;84;1500;1546;
62,Apartamento;Península;4;3;4;267;18000;3100;400
63,Apartamento;Ipanema;3;1;0;87;3200;1305;217
64,Apartamento;Méier;3;1;0;90;1550;844;80
65,Apartamento;Vargem Pequena;3;1;0;53;1400;385;28
66,Apartamento;Botafogo;3;1;1;108;5950;1405;289
67,Apartamento;Maracanã;2;0;0;86;1800;600;82
68,Apartamento;Recreio dos Bandeirantes;2;1;1;74;1850;675;200
69,Conjunto Comercial/Sala;Méier;0;0;0;32;700;380;56
70,Apartamento;Jacarepaguá;3;1;1;74;1900;556;98
71,Apartamento;Ipanema;3;2;1;150;8000;2400;
72,Conjunto Comercial/Sala;Centro;0;0;0;1;2850;2050;
73,Apartamento;Ipanema;3;1;1;140;7900;2900;500
74,Casa;Méier;2;0;0;51;1500;50;
75,Apartamento;Jardim Botânico;2;2;0;95;4000;1170;
76,Apartamento;Barra da Tijuca;2;1;1;70;;970;68
77,Apartamento;Cachambi;2;0;0;60;1000;380;280
78,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;33;700;1010;56
79,Conjunto Comercial/Sala;Jardim Botânico;0;1;0;24;2500;682;112
80,Galpão/Depósito/Armazém;Vargem Grande;0;6;0;2236;40000;;
81,Conjunto Comercial/Sala;Barra da Tijuca;0;1;0;32;850;719;
82,Casa;São Conrado;4;2;4;730;28000;2000;12000
83,Casa Comercial;Botafogo;0;0;0;140;7000;;137
84,Galpão/Depósito/Armazém;Maria da Graça;0;3;0;1000;9800;;820
85,Casa de Condomínio;Freguesia (Jacarepaguá);5;3;1;140;2500;1200;
86,Conjunto Comercial/Sala;Centro;0;1;0;390;25397;12090;1318
87,Conjunto Comercial/Sala;Centro;0;0;0;320;12000;3740;1541
88,Apartamento;Leblon;2;1;1;80;3500;990;245
89,Apartamento;Barra da Tijuca;4;4;4;240;12700;4400;1440
90,Apartamento;Barra da Tijuca;3;2;1;104;2600;1364;406
91,Apartamento;Vila Valqueire;2;1;0;45;800;280;14
92,Apartamento;Gávea;2;1;0;70;2800;680;98
93,Apartamento;Barra da Tijuca;2;1;1;88;2700;1300;2042
94,Apartamento;Centro;1;1;0;37;1100;540;900
95,Apartamento;Cosme Velho;3;4;0;130;5500;1407;246
96,Apartamento;Bonsucesso;2;1;0;77;1500;740;
97,Apartamento;Barra da Tijuca;3;2;2;85;2500;1400;190
98,Apartamento;Todos os Santos;3;1;1;78;1450;630;73
99,Apartamento;Laranjeiras;2;1;0;54;2300;582;
100,Quitinete;Centro;0;0;0;30;800;505;
101,Apartamento;Jacarepaguá;2;1;1;69;2000;780;
102,Apartamento;Ipanema;3;1;1;120;7000;1800;370
103,Loja/Salão;Barra da Tijuca;0;0;0;36;5300;2114;839
104,Apartamento;Barra da Tijuca;2;1;1;78;2750;1300;138
105,Conjunto Comercial/Sala;Centro;0;0;0;95;3800;1688;392
106,Apartamento;Itanhangá;2;1;0;60;1000;450;150
107,Apartamento;Recreio dos Bandeirantes;2;1;1;90;2400;1700;135
108,Conjunto Comercial/Sala;Centro;0;0;0;310;17050;5950;1917
